,geometry,cartodb_id,objectid,permitnumber,addressobjectid,parcel_id_num,permittype,permitdescription,commercialorresidential,typeofwork,approvedscopeofwork,permitissuedate,status,applicanttype,contractorname,contractoraddress1,contractoraddress2,contractorcity,contractorstate,contractorzip,mostrecentinsp,opa_account_num,address,unit_type,unit_num,zip,censustract,council_district,opa_owner,systemofrecord,geocode_x,geocode_y,posse_jobid
10,POINT (-75.176964 39.981317),26684,27133,950076,71798,39279,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH A ROOF DECK ABOVE THE THIRD FLOOR, A ROOF DECK ACCESS STRUCTURE. FOR USE AS TWO FAMILY HOUSEHOLD LIVING.",2019-02-22T14:55:29Z,COMPLETED,APPL,EASTERN CONSULTING INC,55 BUCK ROAD,STE 400,HUNTINGDON VALLEY,PA,19006-    ,2020-01-08T10:05:00Z,324049000,2535 CECIL B MOORE AVE,,,19121-2849,149,5,2535 CECIL B MOORE LLC,HANSEN,2689458.8051639,246555.30112046,
11,POINT (-75.12076500000001 39.981486),27745,27325,984943,426650,309769,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,ERECTION OF A SINGLE FAMILY DWELLING WITH A ROOF DECK ACESSED BY A PILOT HOUSE,2019-07-15T12:51:00Z,COMPLETED,APPL,QAZIM KUPA,4 COVE CT,,HAINESPORT,NJ,08036-    ,2019-12-12T07:38:00Z,871541290,2601 MEMPHIS ST,,,19125-2317,160,1,KUPA GEZIM,HANSEN,2705199.21489355,247080.68366849,
12,POINT (-75.187667 39.939256),33036,32931,960730,134302,410065,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,ERECTION OF A TWO FAMILY DWELLING WITH A ROOF ACESSED BY A PILOT HOUSE AS PER PLANS.,2019-04-04T09:57:58Z,COMPLETED,DESIGN PROFESSIONAL,A1 CARPENTRY,4015 FAIRWAY ROAD,,LAFAYETTE,PA,19444-    ,2019-12-02T08:56:00Z,362004402,2630 ELLSWORTH ST,,,19146-3827,20,2,2630 ELLSWORTH ST LLC,HANSEN,2686905.2999076,231152.3547863,
13,POINT (-75.131024 39.984928),33068,32937,962327,628660,534451,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A FOUR (4) STORY THREE-FAMILY DWELLING WITH REAR DECKS AT THE SECOND AND THIRD FLOORS AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED. *SEE A/P 958419 FOR FOUNDATION WORK**2009 IBC*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2019-04-09T13:28:21Z,COMPLETED,DESIGN PROFESSIONAL,VRTX INVESTMENTS INC,301 W BYBERRY RD,APT 18,PHILA,PA,19116-    ,2019-12-14T14:03:00Z,313135601,1912 E YORK ST,,,19125-1214,161,7,GGBK PHILLYMANS LLC,HANSEN,2702288.36816791,248248.68696582,
14,POINT (-75.121208 39.986448),37932,38302,940431,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE B) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T09:00:41Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-09-06T08:26:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
15,POINT (-75.121208 39.986448),37933,38303,940436,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE B) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T09:21:18Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-10-04T08:23:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
16,POINT (-75.133585 39.979773),37998,38437,967517,302735,1266656,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FITOUT,"FIT-OUT OF SHELL SPACES ON THE FIRST FLOOR & BASEMENT OF A NEW CONSTRUCTION BUILDING (SEE PERMIT 903889) TO INCLUDE BUSINESS & PROFESSIONAL OFFICE AND THREE (3) ADDITIONAL DWELLING UNITS [TWENTY-EIGHT (28) TOTAL UNITS IN BUILDING] AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13. 
**SEPARATE PERMITS REQUIRED FOR ANY MEP OR FIRE SUPPRESSION WORK**",2019-05-01T16:02:29Z,COMPLETED,APPL,JIG INC,111 W NORRIS ST,,PHILADELPHIA,PA,19122-2427,2020-01-02T14:52:00Z,881069400,1942-48 N FRONT ST,,,19122-2405,157,7,FRONT FLATS LLC,HANSEN,2701626.57723508,246350.36711671,
17,POINT (-75.179631 39.975199),38476,38232,928552,765558,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FOUND,PERMIT FOR FOUNDATION ONLY FOR 3 STORY ATTACHED MULTI FAMILY STRUCTURE 3 FAMILY DWELLING. SEE PERMIT 928544 FOR PLANS.,2019-01-09T10:32:22Z,COMPLETED,DESIGN PROFESSIONAL,"CALLAHAN & WARD PROPERTIES, LL",2610 HIRST TERRACE,,HAVERTOWN,PA,19083-    ,2019-10-29T09:39:00Z,291370700,1248 N TANEY ST,,,19121-    ,138,5,ZORA ENTERPRISES III INC,HANSEN,2688776.63209403,244305.95337111,
18,POINT (-75.187517 39.937559),38495,37982,877748,382247,148029,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE STORY STRUCTURE FOR USE AS A SINGLE FAMILY DWELLING. STRUCTURE CONTAINS ROOF DECK OVER THIRD STORY PORTION ACCESSED BY ROOF DECK ACCESS STRUCTURE. BUILDING IS SPRINKLERED IN ACCORDANCE WITH NFPA 13D. ALL WORK TO BE DONE PER APPROVED  PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2009 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.",2019-03-12T15:43:30Z,COMPLETED,,GOVERNATORE CONSTRUCTION LLC,LOUIS M GOVERNATORE,2921 SOUTH JUNIPER STREET,PHILADELPHIA,PA,19148-    ,2020-02-24T15:00:00Z,362053100,2611 LATONA ST,,,19146-3809,20,2,DEITZ CHARLES,HANSEN,2686965.19661561,230535.59287107,
19,POINT (-75.141111 39.97363),38585,38001,881682,362662,236676,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A TWO-FAMILY DWELLING W/ CELLAR, RECESSED BALCONY, ROOF DECK, AND PILOT HOUSE AS PER PLANS.",2019-12-23T15:49:52Z,COMPLETED,DESIGN PROFESSIONAL,DAVID SCHWARTZ CONSTRUCTION IN,12301 MCNULTY RD,STE C,PHILA,PA,19154-    ,2019-12-31T08:39:00Z,881035002,306 JEFFERSON ST,,,19122-3700,144,7,CBRG 1436 LLC,HANSEN,2699584.56048841,244051.16899544,
20,POINT (-75.156948 39.924289),50118,49588,941039,124211,249301,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE CONSTRUCTION OF A THREE (3) STORY ATTACHED STRUCTURE WITH ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE. FOR A SINGLE FAMILY HOUSE HOLD LIVING. AS PER PLANS,2019-04-26T14:04:25Z,COMPLETED,CONTRACTOR,GPE CONSTRUCTION LC,129 MENDEL COURT,,BEAR,DE,19701-    ,2019-10-24T16:53:00Z,393018710,614 DUDLEY ST,,,19148-2404,41.01,1,AMEILA INVESTORS LLC,HANSEN,2695675.4294854,225953.93808958,
21,POINT (-75.178093 39.931919),49244,49724,966789,671378,215825,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE NEW CONSTRUCTION OF AN ATTACHED THREE (3) STORY TWO (2) FAMILY DWELLING WITH ROOF DECK ACCESSED BY A PILOTHOUSE AS PER PLAN.
",2019-05-17T15:23:18Z,COMPLETED,CONTRACTOR,RUBIN KAZAZI,2206 DISSTON ST,,PHILA,PA,19149-    ,2020-02-25T10:23:00Z,363239905,1544 S 20TH ST,,,19146-4508,31,2,MABEL PROPERTIES LLC,HANSEN,2689666.59506345,228558.81358607,
22,POINT (-75.18660800000001 39.978664),50027,49649,950070,769374,835329,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF AN OUTDOOR AMENITY SPAE CONSISTING OF A POOL, STORAGE ROOMS, BATHROOMS AND SOCIAL AREA AS PER APPROVED PLANS. BUILDING NOT REQUIRED TO BE SPRINKLERED. 
**SEPARATE PERMITS REQUIRED FOR ANY MEP WORK**",2019-03-27T09:05:15Z,COMPLETED,CONTRACTOR,URBAN GC LLC,1300 VIRGINIA DRIVE,STE 215,FT WASHINGTON,PA,19034-    ,2019-08-15T09:04:00Z,881822814,1410 N 31ST ST,,,19121-3501,137,5,WESTRUM BTC LP,HANSEN,2686785.3068231,245510.7673577,
23,POINT (-75.160661 39.978498),43232,43923,940353,559923,523729,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE NEW CONSTRUCTION OF AN ATTACHED THREE (3) STORY TWO (2) FAMILY DWELLING, AS PER PLAN.
",2019-02-01T14:12:27Z,COMPLETED,DESIGN PROFESSIONAL,JOSEPH TODD,5 W. ROCK HILL ROAD,,BALA CYWND,PA,19004-    ,2019-08-01T10:34:00Z,471206100,1628 N SYDENHAM ST,,,19121-3418,147,5,LAYKIN HOLDINGS LLC,HANSEN,2694055.53838409,245662.13990254,
24,POINT (-75.177075 39.931049),50120,49590,941069,289545,272409,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,NEW CONSTRUCTION OF 3-STORY SINGLE FAMILY DWELLING WITH ROOF DECK,2019-05-13T09:47:08Z,COMPLETED,CONTRACTOR,GPE CONSTRUCTION LC,129 MENDEL COURT,,BEAR,DE,19701-    ,2020-01-13T15:13:00Z,363087400,1918 FERNON ST,,,19145-1420,31,2,STANDARD DEVELOPMENT LLC,HANSEN,2689961.19734235,228250.43165899,
25,POINT (-75.13706999999999 39.964789),61388,61044,942934,382474,131495,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH ROOF DECKS AND TWO(2) ROOF DECK ACCESS STRUCTURES. FOR USE AS MULTI-FAMILY HOUSEHOLD LIVING [THREE(3) DWELLING UNITS] AND CARPORTS FOR THREE(3) ACCESSORY OFF-STREET PARKING SPACES. BUILDING TO BE FULLY SPRINKLERED. SEPARATE PERMITS REQUIRED FOR MEP AND FIRE SUPP. WORK.,2019-03-06T08:22:43Z,COMPLETED,APPL,CITY SUBURBAN HOME BUILDERS LL,2413 FRANKFORD AVE UNIT D,,PHILA,PA,19125-    ,2020-03-09T14:21:00Z,885074940,90-94 LAUREL ST,,,19123-0000,142,1,1931-1933 E HUNTINGDON ST,HANSEN,2700811.89217094,240865.41206365,
26,POINT (-75.22983000000001 40.027768),54918,55441,958303,390689,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION OF A FOUR (4) STORY STRUCTURE ABOVE GRADE PLANE WITH ROOF DECK ACCESSED BY ROOFTOP STRUCTURE; SINGLE-FAMILY DWELLING WITHIN A SPECIAL FLOOD HAZARD AREA WITH GARAGE; LOWEST FLOOR ELEVATION ENTIRELY ABOVE THE REGULATORY FLOOD ELEVATION AS PER APPROVED PLANS; BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13; ** HISTORICAL COMMISSION JURISDICTION REMOVED SOLEY FOR THIS PROJECT, PER COUNCIL ORDINANCE BILL # 170997, ** FINISHED FLOOR ELEVATION CERTIFICATE TO BE PROVIDED TO DEPARTMENT & APPROVED PRIOR TO ISSUANCE OF CERTIFICATE OF OCCUPANCY (CO), SEE A/P# 945277 FOR PLANS.",2019-03-26T16:11:44Z,COMPLETED,DESIGN PROFESSIONAL,VENICE ISLAND DEVELOPER LLC,2337 PHILMONT AVE,2ND FLOOR,HUNTINGDON VALLEY,PA,19006-6200,2020-03-05T06:59:00Z,,1 LEVERINGTON AVE,,,19127-2201,214,4,LOCKS HOMEOWNERS ASSOCIAT,HANSEN,2674167.19369792,263042.69640828,
27,POINT (-75.170175 39.975154),61114,61028,941315,92405,269126,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A THREE (3) STORY THREE-FAMILY DWELLING WITH A PRIVATE ROOF DECK AND PILOT HOUSE (ACCESS TO ROOF DECK ONLY) AND REAR DECK AT THE FIRST FLOOR LEVEL AS PER APPROVED PLANS. BUILDING REQUIRED TO BE FULLY SPRINKLERED. *2009 IBC*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2019-02-01T15:38:18Z,COMPLETED,APPL,MOLOTOK LLC,660 WOODSPRING DR,,WARRINGTON,PA,18976-    ,2019-11-27T09:53:00Z,291026700,2045 N COLLEGE AVE,,,19121-4806,139,5,2123 DEVELOP LLC,HANSEN,2691425.93646492,244366.72625689,
28,POINT (-75.12116399999999 39.977363),61451,61096,953315,390582,326289,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH CELLAR, ROOF DECK AND PILOT HOUSE (SIZE AND LOCATION AS SHOWN ON THE PLAN) TO USE AS SINGLE FAMILY HOUSEHOLD LIVING. SEPERATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER WORK. NO UNDERPINNING OF FOUNDATION INCLUDED ON THIS APPLICATION",2019-03-15T13:30:00Z,COMPLETED,CONTRACTOR,QAZIM KUPA,4 COVE CT,,HAINESPORT,NJ,08036-    ,2019-10-01T07:22:00Z,313242430,2613 E LETTERLY ST,,,19125-3716,160,1,KUPA QAZIM               FARUOL TIMOTHY,HANSEN,2705132.01243026,245576.02141978,
29,POINT (-75.189148 39.909791),66215,66675,956074,755205,1471768,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"ERECTION OF A THREE STORY STRUCTURE, MAXIMUM 35 FT HIGH, WITH ACCESSORY INTERIOR GARAGE, A SECOND FLOOR REAR OPEN ELEVATED DECK. SIZE AND LOCATION AS SHOWN ON PLANS.**SEE AP # 953441 FOR PLANS**",2019-03-15T10:59:51Z,COMPLETED,CONTRACTOR,JUDD BUILDERS & DEVELOPERS,1750 WALTON RD,,BLUE BELL,PA,19422-    ,2020-02-13T08:30:00Z,262429300,3328 PIETRO WAY,,,19145-5549,373,2,SIENA PLACE PLANNED COMMU,HANSEN,2686801.21577063,220411.44940076,
30,POINT (-75.121208 39.986448),66400,66587,940433,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE B) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T09:13:43Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-10-24T10:21:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
31,POINT (-75.22983000000001 40.027768),66603,66618,947088,390689,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION OF A FOUR (4) STORY STRUCTURE ABOVE GRADE PLANE WITH ROOF DECK ACCESSED BY ROOFTOP STRUCTURE; SINGLE-FAMILY DWELLING WITHIN A SPECIAL FLOOD HAZARD AREA WITH GARAGE; LOWEST FLOOR ELEVATION ENTIRELY ABOVE THE REGULATORY FLOOD ELEVATION AS PER APPROVED PLANS; BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13; ** HISTORICAL COMMISSION JURISDICTION REMOVED SOLEY FOR THIS PROJECT, PER COUNCIL ORDINANCE BILL # 170997, ** FINISHED FLOOR ELEVATION CERTIFICATE TO BE PROVIDED TO DEPARTMENT & APPROVED PRIOR TO ISSUANCE OF CERTIFICATE OF OCCUPANCY (CO) ** SEE A/P #945287 FOR PLANS **",2019-02-11T10:21:52Z,COMPLETED,DESIGN PROFESSIONAL,VENICE ISLAND DEVELOPER LLC,2337 PHILMONT AVE,2ND FLOOR,HUNTINGDON VALLEY,PA,19006-6200,2019-12-11T14:00:00Z,,1 LEVERINGTON AVE,,,19127-2201,214,4,LOCKS HOMEOWNERS ASSOCIAT,HANSEN,2674167.19369792,263042.69640828,
