,geometry,cartodb_id,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour_,dc_key,location_block,ucr_general,text_general_code,point_x,point_y
71,POINT (-75.100086 40.031148),13762,15660,2,1,2019-12-31T09:38:00Z,2019-12-31,09:38:00,9,201902071626,4600 BLOCK E ROOSEVELT BLVD,400,Aggravated Assault No Firearm,-75.1000858,40.03114763
72,POINT (-75.15128 40.039575),13874,15692,35,3,2019-09-19T19:12:00Z,2019-09-19,19:12:00,19,201935086201,5600 BLOCK OGONTZ AVE,400,Aggravated Assault No Firearm,-75.15128043,40.03957544
73,POINT (-75.100086 40.031148),13897,16080,2,1,2019-08-08T12:26:00Z,2019-08-08,12:26:00,12,201902044225,4600 BLOCK E ROOSEVELT BLVD,400,Aggravated Assault No Firearm,-75.1000858,40.03114763
74,POINT (-75.15128 40.039575),14000,16104,35,3,2019-02-09T03:14:00Z,2019-02-09,03:14:00,3,201935011309,5600 BLOCK OGONTZ AVE,400,Aggravated Assault No Firearm,-75.15128043,40.03957544
75,POINT (-75.15745200000001 39.989438),14089,15752,22,1,2019-01-05T19:06:00Z,2019-01-05,19:06:00,19,201922001430,2300 BLOCK N 15TH ST,400,Aggravated Assault No Firearm,-75.15745157,39.98943819
76,POINT (-74.98388 40.07898),14294,15798,8,2,2019-12-17T18:40:00Z,2019-12-17,18:40:00,18,201908042680,10800 BLOCK KESWICK RD,400,Aggravated Assault No Firearm,-74.98387966,40.07897981
77,POINT (-75.23004299999999 39.977993),14444,15008,19,3,2019-12-18T15:55:00Z,2019-12-18,15:55:00,15,201919112635,1600 BLOCK N 54TH ST,400,Aggravated Assault Firearm,-75.23004268,39.97799327
78,POINT (-75.168665 39.935041),14529,16242,17,3,2019-09-29T20:55:00Z,2019-09-29,20:55:00,20,201917046096,1200 BLOCK S CARLISLE ST,400,Aggravated Assault Firearm,-75.16866524,39.93504064
79,POINT (-75.122523 39.991476),14802,13871,24,2,2019-03-13T14:11:00Z,2019-03-13,14:11:00,14,201924021533,2800 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,-75.1225234,39.99147589
80,POINT (-75.122523 39.991476),14803,13872,24,2,2019-05-07T16:44:00Z,2019-05-07,16:44:00,16,201924040607,2800 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,-75.1225234,39.99147589
81,POINT (-75.122523 39.991476),14804,13873,24,2,2019-05-14T10:42:00Z,2019-05-14,10:42:00,10,201924042964,2800 BLOCK KENSINGTON AVE,400,Aggravated Assault Firearm,-75.1225234,39.99147589
82,POINT (-75.100086 40.031148),14959,14741,2,1,2019-05-20T11:09:00Z,2019-05-20,11:09:00,11,201902028043,4600 BLOCK E ROOSEVELT BLVD,400,Aggravated Assault No Firearm,-75.1000858,40.03114763
83,POINT (-75.100086 40.031148),14963,14744,2,1,2019-05-30T21:19:00Z,2019-05-30,21:19:00,21,201902030316,4600 BLOCK E ROOSEVELT BLVD,400,Aggravated Assault No Firearm,-75.1000858,40.03114763
84,POINT (-75.073261 40.055781),15362,14432,2,3,2019-02-06T13:39:00Z,2019-02-06,13:39:00,13,201902006886,7300 BLOCK ALGON AVE,400,Aggravated Assault No Firearm,-75.07326149,40.05578065
85,POINT (-75.224593 39.964905),15417,13592,16,2,2019-06-09T20:05:00Z,2019-06-09,20:05:00,20,201916027048,N 52ND ST / HAVERFORD AV,400,Aggravated Assault No Firearm,-75.22459304,39.9649051
86,POINT (-75.122523 39.991476),16165,13786,24,2,2019-06-14T23:16:00Z,2019-06-14,23:16:00,23,201924054998,2800 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,-75.1225234,39.99147589
87,POINT (-75.122523 39.991476),16167,13788,24,2,2019-07-03T16:46:00Z,2019-07-03,16:46:00,16,201924062950,2800 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,-75.1225234,39.99147589
88,POINT (-75.01408600000001 40.069748),16304,14663,8,2,2019-04-14T04:50:00Z,2019-04-14,04:50:00,4,201908013500,9600 BLOCK ASHTON RD 13,400,Aggravated Assault No Firearm,-75.01408567,40.06974767
89,POINT (-75.226192 39.981599),16935,19815,19,3,2019-01-02T13:09:00Z,2019-01-02,13:09:00,13,201919000434,5200 BLOCK PARKSIDE AVE,400,Aggravated Assault No Firearm,-75.22619216,39.98159931
90,POINT (-75.144111 40.041992),16996,19015,35,3,2019-08-15T17:44:00Z,2019-08-15,17:44:00,17,201935075033,1400 BLOCK CONLYN ST,400,Aggravated Assault Firearm,-75.14411072,40.04199218
91,POINT (-75.204317 39.974127),17040,19839,16,1,2019-10-27T23:14:00Z,2019-10-27,23:14:00,23,201916053275,N 40TH ST / W GIRARD AVE,400,Aggravated Assault No Firearm,-75.20431733,39.97412682
92,POINT (-75.144111 40.041992),17323,19099,35,3,2019-08-15T16:26:00Z,2019-08-15,16:26:00,16,201935075027,1400 BLOCK CONLYN ST,400,Aggravated Assault Firearm,-75.14411072,40.04199218
93,POINT (-75.144111 40.041992),17324,19100,35,3,2019-08-15T17:44:00Z,2019-08-15,17:44:00,17,201935075030,1400 BLOCK CONLYN ST,400,Aggravated Assault Firearm,-75.14411072,40.04199218
94,POINT (-75.144111 40.041992),17325,19101,35,3,2019-08-15T17:44:00Z,2019-08-15,17:44:00,17,201935075031,1400 BLOCK CONLYN ST,400,Aggravated Assault Firearm,-75.14411072,40.04199218
95,POINT (-75.144111 40.041992),17326,19102,35,3,2019-08-15T17:44:00Z,2019-08-15,17:44:00,17,201935075032,1400 BLOCK CONLYN ST,400,Aggravated Assault Firearm,-75.14411072,40.04199218
96,POINT (-75.175809 40.009643),18028,18430,39,2,2019-07-10T15:21:00Z,2019-07-10,15:21:00,15,201939058120,2800 BLOCK FOX ST,400,Aggravated Assault No Firearm,-75.17580869,40.00964277
97,POINT (-75.22557999999999 39.956956),18478,16836,18,2,2019-10-27T02:24:00Z,2019-10-27,02:24:00,2,201918099044,5200 BLOCK WALNUT ST,400,Aggravated Assault No Firearm,-75.22557986,39.95695631
98,POINT (-75.22557999999999 39.956956),18483,16841,18,2,2019-06-09T01:14:00Z,2019-06-09,01:14:00,1,201918049754,5200 BLOCK WALNUT ST,400,Aggravated Assault Firearm,-75.22557986,39.95695631
99,POINT (-75.24303 39.904829),18918,17247,12,1,2019-07-07T23:11:00Z,2019-07-07,23:11:00,23,201912056134,7700 BLOCK LINDBERGH BLVD,400,Aggravated Assault No Firearm,-75.24303012,39.9048293
100,POINT (-75.069239 40.021398),19029,17276,15,2,2019-07-11T05:04:00Z,2019-07-11,05:04:00,5,201915069703,5400 BLOCK TACKAWANNA ST,400,Aggravated Assault No Firearm,-75.06923908,40.02139782
101,POINT (-75.246234 39.967068),20819,22470,19,1,2019-01-14T03:03:00Z,2019-01-14,03:03:00,3,201919004014,200 BLOCK N 63RD ST,400,Aggravated Assault No Firearm,-75.24623412,39.9670684
102,POINT (-75.22557999999999 39.956956),19851,16754,18,2,2019-09-29T23:36:00Z,2019-09-29,23:36:00,23,201918089465,5200 BLOCK WALNUT ST,400,Aggravated Assault No Firearm,-75.22557986,39.95695631
103,POINT (-75.158406 39.980325),20525,22795,22,3,2019-10-31T12:53:00Z,2019-10-31,12:53:00,12,201922097461,1400 BLOCK W MONTGOMERY AVE,400,Aggravated Assault No Firearm,-75.1584058,39.98032484
104,POINT (-75.134732 39.978929),20612,22801,26,2,2019-04-30T23:15:00Z,2019-04-30,23:15:00,23,201926017352,1900 BLOCK N HOWARD ST,400,Aggravated Assault Firearm,-75.13473181,39.9789289
105,POINT (-75.173911 39.981677),20956,22902,22,4,2019-02-24T01:51:00Z,2019-02-24,01:51:00,1,201922015945,N 24TH ST / RIDGE AV,400,Aggravated Assault No Firearm,-75.17391064,39.98167713
106,POINT (-75.173911 39.981677),20958,22904,22,4,2019-06-17T21:28:00Z,2019-06-17,21:28:00,21,201922051656,N 24TH ST / RIDGE AVE,400,Aggravated Assault No Firearm,-75.17391064,39.98167713
107,POINT (-75.130624 39.992478),21585,20860,25,3,2019-09-02T11:32:00Z,2019-09-02,11:32:00,11,201925071424,N FRONT ST / W SOMERSET ST,400,Aggravated Assault Firearm,-75.13062427,39.99247785
108,POINT (-75.08142700000001 40.019973),21600,20875,15,1,2019-01-13T09:44:00Z,2019-01-13,09:44:00,9,201915003680,4900 BLOCK FRANKFORD AVE,400,Aggravated Assault No Firearm,-75.08142679,40.01997327
109,POINT (-75.08142700000001 40.019973),21602,20877,15,1,2019-06-19T07:46:00Z,2019-06-19,07:46:00,7,201915061178,4900 BLOCK FRANKFORD AVE,400,Aggravated Assault No Firearm,-75.08142679,40.01997327
110,POINT (-75.013088 40.131292),22135,19860,7,3,2019-01-07T00:57:00Z,2019-01-07,00:57:00,0,201907000581,14000 BLOCK BUSTLETON AVE,400,Aggravated Assault No Firearm,-75.01308813,40.13129212
111,POINT (-75.130624 39.992478),21884,20945,25,3,2019-03-18T00:13:00Z,2019-03-18,00:13:00,0,201925021186,100 BLOCK W SOMERSET ST,400,Aggravated Assault Firearm,-75.13062427,39.99247785
112,POINT (-75.11774699999999 39.995448),22897,20464,24,2,2019-06-28T22:04:00Z,2019-06-28,22:04:00,22,201924060857,3100 BLOCK F ST,400,Aggravated Assault Firearm,-75.11774684,39.99544792
113,POINT (-75.173508 39.983804),22420,21190,22,2,2019-09-08T14:53:00Z,2019-09-08,14:53:00,14,201922079620,2400 BLOCK W BERKS ST,400,Aggravated Assault Firearm,-75.17350782,39.98380367
114,POINT (-75.160815 39.949318),22572,19982,6,3,2019-09-10T16:20:00Z,2019-09-10,16:20:00,16,201906046003,1200 BLOCK WALNUT ST,400,Aggravated Assault No Firearm,-75.16081487,39.94931819
115,POINT (-75.162904 39.955961),22695,20420,9,2,2019-07-01T07:33:00Z,2019-07-01,07:33:00,7,201909026270,100 BLOCK N BROAD ST,400,Aggravated Assault No Firearm,-75.16290403,39.95596149
116,POINT (-75.11774699999999 39.995448),22898,20465,24,2,2019-07-10T14:38:00Z,2019-07-10,14:38:00,14,201924065897,3100 BLOCK F ST,400,Aggravated Assault No Firearm,-75.11774684,39.99544792
117,POINT (-75.20547000000001 39.965099),23279,25258,16,2,2019-01-01T14:33:00Z,2019-01-01,14:33:00,14,201916000086,N 41ST ST / LANCASTER AVE,400,Aggravated Assault No Firearm,-75.20546956,39.96509908
118,POINT (-75.240854 39.962217),23898,24985,19,1,2019-07-10T22:41:00Z,2019-07-10,22:41:00,22,201919059765,N 63RD ST / MARKET ST,400,Aggravated Assault No Firearm,-75.24085444,39.96221651
119,POINT (-75.15187299999999 39.997563),23534,26132,25,4,2019-07-25T20:59:00Z,2019-07-25,20:59:00,20,201925060906,1300 BLOCK W GLENWOOD AVE,400,Aggravated Assault No Firearm,-75.15187251,39.99756261
120,POINT (-75.193665 39.926348),23556,26154,1,1,2019-04-30T10:09:00Z,2019-04-30,10:09:00,10,201901018267,2800 BLOCK JACKSON ST,400,Aggravated Assault No Firearm,-75.19366474,39.92634846
121,POINT (-75.14162 40.015934),24081,26277,25,1,2019-04-24T14:57:00Z,2019-04-24,14:57:00,14,201925031965,900 BLOCK W HUNTING PARK AVE,400,Aggravated Assault No Firearm,-75.14161989,40.01593377
122,POINT (-75.165137 39.997541),24031,25446,39,3,2019-05-07T16:17:00Z,2019-05-07,16:17:00,16,201939037001,2800 BLOCK N LAMBERT ST,400,Aggravated Assault No Firearm,-75.1651365,39.99754138
123,POINT (-75.097284 40.013766),24302,26335,24,1,2019-04-27T12:47:00Z,2019-04-27,12:47:00,12,201924036829,1500 BLOCK E WINGOHOCKING ST,400,Aggravated Assault Firearm,-75.09728401,40.01376624
124,POINT (-75.147429 39.919877),24165,25906,3,2,2019-03-07T10:38:00Z,2019-03-07,10:38:00,10,201903015116,0 BLOCK JACKSON ST,400,Aggravated Assault No Firearm,-75.14742932,39.91987705
125,POINT (-75.156319 40.062955),24194,26310,14,1,2019-02-04T13:37:00Z,2019-02-04,13:37:00,13,201914011185,1800 BLOCK BEVERLY RD,400,Aggravated Assault No Firearm,-75.15631944,40.06295454
